doi,title,abstract,authors,orcid_ids,affiliations,published_date,journal_title,publisher,keywords,topics
10.1080/14697688.2012.678770,A strategy-proof test of portfolio returns,"Traditional methods for analyzing portfolio returns often rely on multifactor risk assessment, and tests of significance are typically based on variants of the t-test. This approach has serious limitations when analyzing the returns from dynamically traded portfolios that include derivative positions, because standard tests of significance can be ‘gamed’ using options trading strategies. To deal with this problem we propose a test that assumes nothing about the structure of returns except that they form a martingale difference. Although the test is conservative and corrects for unrealized tail risk, the loss in power is small at high levels of significance.",Dean P. Foster; H. Peyton Young,0000-0002-1153-2892,"Dean P. Foster: University of Pennsylvania, Huntsman (United States); H. Peyton Young: University of Oxford, Brookings Institution",2012-05,Quantitative Finance,Informa UK Limited,Portfolio; Test (biology); Mathematical economics; Foundation (evidence); Image (mathematics); Economics; Econometrics; Management; Mathematics; Computer science; Financial economics; Artificial intelligence; Operations research; Art history; History; Geology; Archaeology,Financial Markets and Investment Strategies; Stochastic processes and financial applications; Economic theories and models
10.1080/14697688.2012.682607,From credit valuation adjustments to credit capital commitments,"Click to increase image sizeClick to decrease image size Acknowledgements I thank Peter Carr, Ernst Eberlein, Robert Elliott, Eberhard Mayerhoff, Wim Schoutens and Juan Jose Vicente Alvarez for numerous discussions on this subject matter. I also thank the reviewer for comments leading to many improvements to the paper. Errors remain my responsibility.",Dilip B. Madan,0000-0002-0033-9077,"Dilip B. Madan: University of Maryland, College Park",2012-06,Quantitative Finance,Informa UK Limited,Carr; Valuation (finance); Subject matter; Economics; Financial economics; Art history; Management; Art; Finance,Stochastic processes and financial applications; Credit Risk and Financial Regulations; Risk and Portfolio Optimization
10.1080/14697688.2012.682861,Entrepreneurship and innovation in financial institutions,"Click to increase image sizeClick to decrease image size Acknowledgements I would like to thank Ali Soomro, Arun Jacob and Margarita Yakovleva for help with the data collection and analysis. I would like to thank Enrique Schroth for providing access to the innovation data and also for helpful discussions. The author thanks Sriya Iyer and participants of the Management Science and Judge-Us seminar series at the Cambridge Judge Business School, University of Cambridge, and the Editor-in-Chief for comments on earlier versions of this article.",Chander Velu,0000-0002-2316-4441,Chander Velu: University of Cambridge,2012-06,Quantitative Finance,Informa UK Limited,Entrepreneurship; Management; Library science; Economics; Finance; Political science; Computer science,Corporate Finance and Governance; Firm Innovation and Growth; Private Equity and Venture Capital
10.1080/14697688.2012.683878,Bivariate asymmetric GARCH models with heavy tails and dynamic conditional correlations,"A bivariate generalized autoregressive conditional heteroskedastic model with dynamic conditional correlation and leverage effect (DCC-GJR-GARCH) for modelling financial time series data is considered. For robustness it is helpful to assume a multivariate Student-t distribution for the innovation terms. This paper proposes a new modified multivariate t-distribution which is a robustifying distribution and offers independent marginal Student-t distributions with different degrees of freedom, thereby highlighting the relationship among different assets. A Bayesian approach with adaptive Markov chain Monte Carlo methods is used for statistical inference. A simulation experiment illustrates good performance in estimation over reasonable sample sizes. In the empirical studies, the pairwise relationship between the Australian stock market and foreign exchange market, and between the US stock market and crude oil market are investigated, including out-of-sample volatility forecasts.",S.T. Boris Choy; Cathy W.S. Chen; Edward M.H. Lin,0000-0002-6861-6974; 0000-0001-8727-8168; 0000-0003-3857-0386,S. T. Boris Choy: University of Sydney; Cathy W. S. Chen: Feng Chia University; Edward M.H. Lin: Feng Chia University,2012-06-14,Quantitative Finance,Informa UK Limited,Econometrics; Autoregressive conditional heteroskedasticity; Heteroscedasticity; Bivariate analysis; Autoregressive model; Stock market; Volatility (finance); Conditional probability distribution; Economics; Probability integral transform; Markov chain Monte Carlo; Mathematics; Marginal distribution; Statistics; Bayesian probability; Random variable,Financial Risk and Volatility Modeling; Market Dynamics and Volatility; Monetary Policy and Economic Impact
10.1080/14697688.2012.684949,"Statistical finance at the École Polytechnique, Paris: the informal FIESTA research group",,Emmanuel Bacry; Marc Hoffmann; Mathieu Rosenbaum,0000-0002-6558-353X; 0000-0001-7489-1115,"Emmanuel Bacry: École Polytechnique, Centre National de la Recherche Scientifique; Marc Hoffmann: ENSAE Paris, Centre de Recherche en Économie et Statistique, Laboratoire d’Analyse et de Mathématiques Appliquées, Centre National de la Recherche Scientifique; Mathieu Rosenbaum: Sorbonne Université",2012-05,Quantitative Finance,Informa UK Limited,Group (periodic table); Economics; Finance; Financial economics; Physics,Stochastic processes and financial applications; Financial Risk and Volatility Modeling; Statistical Methods and Inference
10.1080/14697688.2012.686668,Dynamics of the implied volatility surface. Theory and empirical evidence,"I perform a regression analysis to test two of the most famous heuristic rules existing in the literature concerning the behavior of the implied volatility surface. These rules are the sticky delta rule and the sticky strike rule. I present a new specification to test the sticky strike rule that allows for dynamics in the implied volatility surface. In the empirical application, I use monthly implied volatility surfaces corresponding to the IBEX 35 index. The estimation results show that the extended specification for the sticky strike rule presented in this article better represents the behavior of the implied volatility under this rule. Furthermore, there is not one rule that is the most appropriate at all times to explain the evolution of the implied volatility surface. Depending on the market situation, one rule may be more appropriate than another. In particular, when the underlying asset displays trend, the sticky delta rule tends to prevail against the sticky strike rule. Conversely, when the underlying asset moves in range, then the sticky strike rule tends to predominate.",Jacinto Marabel Romo,0000-0001-6843-0312,Jacinto Marabel Romo: Universidad de Alcalá,2012-06-12,Quantitative Finance,Informa UK Limited,Implied volatility; Volatility (finance); Econometrics; Volatility smile; Economics; Forward volatility,Stochastic processes and financial applications; Financial Risk and Volatility Modeling; Financial Markets and Investment Strategies
10.1080/14697688.2012.686669,Time-frequency analysis of crude oil and S&amp;P500 futures contracts,"We use frequency-domain techniques, namely wavelets and cross-spectra, to examine the association between the daily prices of crude oil futures and daily S&P500 futures closing prices over the past several decades. We investigate contemporaneous and lag–lead relationships in levels and returns. It is our belief that the wavelet and cross-spectral analyses employed in this paper offer insights regarding the relationship between oil prices and stock returns that are not apparent from a conventional time-domain framework. Our findings cast doubt on the purported negative relationship between oil and the U.S. stock market. Our analysis suggests that oil prices lead oil volume, and S&P500 trading volume leads S&P500 prices.",Joseph McCarthy; Alexei G. Orlov,0000-0001-7445-6957,Joseph McCarthy: Bryant University; Alexei G. Orlov: Radford University,2012-12,Quantitative Finance,Informa UK Limited,Futures contract; Economics; Econometrics; Crude oil; Stock (firearms); Financial economics; Wavelet; Computer science,Market Dynamics and Volatility; Global Energy and Sustainability Research; Monetary Policy and Economic Impact
10.1080/14697688.2012.688626,Calendar,,,,,2012-05,Quantitative Finance,Informa UK Limited,Economics,
10.1080/14697688.2012.690885,Constant Proportion Debt Obligations (CPDOs): modeling and risk analysis,"Constant Proportion Debt Obligations (CPDOs) are structured credit derivatives that generate high coupon payments by dynamically leveraging a position in an underlying portfolio of investment-grade index default swaps. CPDO coupons and principal notes received high initial credit ratings from the major rating agencies, based on complex models for the joint transition of ratings and spreads for all names in the underlying portfolio. We propose a parsimonious model for analysing the performance of CPDO strategies using a top-down approach that captures the essential risk factors of the CPDO. Our approach allows us to compute default probabilities, loss distributions and other tail risk measures for the CPDO strategy and analyse the dependence of these risk measures on various parameters describing the risk factors. We find that the probability of the CPDO defaulting on its coupon payments can be made arbitrarily small—and thus the credit rating arbitrarily high—by increasing leverage, but the ratings obtained strongly depend on assumptions on the credit environment (high spread or low spread). More importantly, CPDO loss distributions are found to exhibit a wide range of tail risk measures inside a given rating category, suggesting that credit ratings are insufficient performance indicators for such complex leveraged strategies. A worst-case scenario analysis indicates that CPDO strategies have a high exposure to persistent spread-widening scenarios and that CPDO ratings are shown to be quite unstable during the lifetime of the strategy.",Rama Cont; Cathrine Jessen,0000-0003-1164-6053,Rama Cont: Columbia University; Cathrine Jessen: Copenhagen Business School,2012-08,Quantitative Finance,Informa UK Limited,Coupon; Econometrics; Leverage (statistics); Debt; Default; Credit risk; Portfolio; Credit rating; Payment; Credit derivative; Actuarial science; Economics; Structured finance; Credit default swap; Business; Financial economics; Statistics; Mathematics; Finance; Financial crisis,"Credit Risk and Financial Regulations; Banking stability, regulation, efficiency; Stochastic processes and financial applications"
10.1080/14697688.2012.690886,How does the market react to your order flow?,"We present an empirical study of the intertwined behaviour of members in a financial market. Exploiting a database where the broker that initiates an order book event can be identified, we decompose the correlation and response functions into contributions coming from different market participants and study how their behaviour is interconnected. We find evidence for the following. (1) Brokers are very heterogeneous in liquidity provision—some appear to be primarily liquidity providers while others are primarily liquidity takers. (2) The behaviour of brokers is strongly conditioned on the actions of other brokers. In contrast, brokers are only weakly influenced by the impact of their own previous orders. (3) The total impact of market orders is the result of a subtle compensation between the same broker pushing the price in one direction and the liquidity provision of other brokers pushing it in the opposite direction. These results enforce the picture of market dynamics being the result of the competition between heterogeneous participants, interacting to form a complex market ecology.",B. Tóth; Z. Eisler; F. Lillo; J. Kockelkoren; J.-P. Bouchaud; J.D. Farmer,0000-0003-4153-268X; 0000-0002-4931-4057; 0000-0002-0427-6456; 0000-0001-7871-073X,"Bence Tóth: Capital Fund Management (France), Santa Fe Institute; Zoltán Eisler: Capital Fund Management (France); Fabrizio Lillo: Scuola Normale Superiore, Santa Fe Institute, University of Palermo; Julien Kockelkoren: Capital Fund Management (France); Jean‐Philippe Bouchaud: Capital Fund Management (France); J. Doyne Farmer: Santa Fe Institute",2012-07,Quantitative Finance,Informa UK Limited,Market liquidity; Order (exchange); Competition (biology); Compensation (psychology); Market impact; Business; Liquidity crisis; Microeconomics; Market maker; Monetary economics; Economics; Market microstructure; Finance; Ecology; Psychology,"Complex Systems and Time Series Analysis; Banking stability, regulation, efficiency; Financial Markets and Investment Strategies"
10.1080/14697688.2012.690887,"Red-Blooded Risk: The Secret History of Wall Street, by Aaron Brown",,Roger Stein,0000-0001-8758-5360,Roger Stein: Moody's Corporation (United States),2012-08,Quantitative Finance,Informa UK Limited,Art; Economics; Art history,"Crime, Illicit Activities, and Governance; Economic, financial, and policy analysis"
10.1080/14697688.2012.691175,Robust and adaptive algorithms for online portfolio selection,"We present an online approach to portfolio selection. The motivation is within the context of algorithmic trading, which demands fast and recursive updates of portfolio allocations as new data arrives. In particular, we look at two online algorithms: Robust-Exponentially Weighted Least Squares (R-EWRLS) and a regularized Online minimum Variance algorithm (O-VAR). Our methods use simple ideas from signal processing and statistics, which are sometimes overlooked in the empirical financial literature. The two approaches are evaluated against benchmark allocation techniques using four real data sets. Our methods outperform the benchmark allocation techniques in these data sets in terms of both computational demand and financial performance.",Theodoros Tsagaris; Ajay Jasra; Niall Adams,0000-0003-4808-9131; 0000-0003-0342-0513,Ajay Jasra: National University of Singapore; Niall M. Adams: Imperial College London,2012-11,Quantitative Finance,Informa UK Limited,Benchmark (surveying); Computer science; Portfolio; Selection (genetic algorithm); Context (archaeology); Portfolio optimization; Algorithm; Online algorithm; Variance (accounting); Mathematical optimization; Econometrics; Finance; Machine learning; Economics; Mathematics,Advanced Bandit Algorithms Research; Financial Markets and Investment Strategies; Risk and Portfolio Optimization
10.1080/14697688.2012.691176,"An Introduction to Austrian Economics, by Thomas C. Taylor","An Introduction to Austrian Economics, by Thomas C. Taylor, Ludwig von Mises Institute (1998). Paperback. ISBN: 978-1-933550-23-7. The Financial Crisis has engendered much criticism of the dominant...",Barry Schachter,0000-0002-9704-0484,Barry Schachter: Healthcentric Advisors,2012-07,Quantitative Finance,Informa UK Limited,Economics; Mathematical economics; Neoclassical economics; Keynesian economics; Financial economics,Economic Theory and Institutions
10.1080/14697688.2012.691202,Determinants of oil futures prices and convenience yields,"Commodity futures prices are usually modelled using affine term structure spot price models with latent factors extracted from the data. However, very little research to date has considered the question – What are the economic drivers behind the calibrated latent factors? This paper addresses this question in the context of a three-factor – short-, medium- and long-term – model for crude oil spot prices by studying the relations between these factors and appropriate economic variables. An affine combination of the short- and medium-term factors is identified as the (instantaneous) convenience yield. Estimating a structural vector auto-regression model we find that the short-term factor mainly relates to demand variables in the physical markets and to trading variables in the futures markets (such as the net short position of commercial hedgers), the medium-term factor relates to business cycles, demand and trading variables, and the long-term factor relates mainly to financial factors.",M. A. H. Dempster; Elena Medova; Ke Tang,0000-0002-7213-5399; 0000-0003-4049-030X,"M. A. H. Dempster: University of Cambridge; Elena Medova: University of Cambridge; Ke Tang: Institute of Economics, Renmin University of China",2012-12,Quantitative Finance,Informa UK Limited,Futures contract; Economics; Econometrics; Spot contract; Context (archaeology); Term (time); Latent variable; Commodity; Factor analysis; Convenience yield; Financial economics; Affine term structure model; Heating oil; Position (finance); Yield curve; Mathematics; Statistics; Bond; Finance; Engineering,Market Dynamics and Volatility; Monetary Policy and Economic Impact; Capital Investment and Risk Analysis
10.1080/14697688.2012.691983,Leverage effect breakdowns and flight from risky assets,"Though part of ‘market lore’, in 1976 Black first reported the inverse relationship between price and volatility, calling it the ‘leverage effect’. Without providing evidence, in 1988 Black claimed that in the months leading up to the October 1987 crash the relationship changed: price and volatility both rose. Using daily data for the Old VIX, derived from S&P 100 Index option market prices, to estimate intra-quarterly regressions of implied volatility against price from Q2 1986 to Q1 2012, the author verifies Black’s claim for the October 1987 crash, and interestingly, for subsequent periods of crisis. He then analyses several constant-elasticity-of-variance optimal portfolio rules, which include the leverage effect, to show the elasticity sign switch implies that investors reduce their risky asset holdings to zero.",Stephen Matteo Miller,0000-0002-6092-8420,Stephen M. Miller: Monash University,2012-08-03,Quantitative Finance,Informa UK Limited,Leverage (statistics); Volatility (finance); Economics; Portfolio; Econometrics; Leverage effect; Crash; Volatility smile; Financial economics; Implied volatility; Monetary economics; Autoregressive conditional heteroskedasticity; Mathematics; Statistics; Computer science,Financial Markets and Investment Strategies; Stochastic processes and financial applications; Financial Risk and Volatility Modeling
10.1080/14697688.2012.691984,An experimental study on real-options strategies,"We conduct a laboratory experiment to study whether people intuitively use real-option strategies in a dynamic investment setting. The participants were asked to play as an oil manager and make production decisions in response to a simulated mean-reverting oil price. Using cluster analysis, participants can be classified into four groups, which we label ‘mean-reverting’, ‘Brownian motion real-option’, ‘Brownian motion myopic real-option’, and ‘ambiguous’. We find two behavioral biases in the strategies of our participants: ignoring the mean-reverting process, and myopic behavior. Both lead to too frequent switches when compared with the theoretical benchmark. We also find that the last group behaved as if they have learned to incorporate the true underlying process into their decisions, and improved their decisions during the later stage.",Mei Wang; Abraham Bernstein; Marc Chesney,0000-0002-5548-276X; 0000-0002-0128-4602; 0000-0001-5781-4257,Mei Wang: WHU-Otto Beisheim School of Management; Abraham Bernstein: University of Zurich; Marc Chesney: University of Zurich,2012-07-05,Quantitative Finance,Informa UK Limited,Mean reversion; Economics; Econometrics; Process (computing); Brownian motion; Actuarial science; Computer science; Mathematics; Statistics,Capital Investment and Risk Analysis; Climate Change Policy and Economics; Innovation Diffusion and Forecasting
10.1080/14697688.2012.691985,Is the EUA a new asset class?,"The listing of a new asset requires knowledge of its statistical properties prior to its use for hedging, speculative or risk management purposes. In this paper, the authors study the stylised facts of European Union Allowances (EUAs) returns. The majority of the phenomena observed, such as heavy tails, volatility clustering, asymmetric volatility and the presence of a high number of outliers are similar to those observed in both commodity futures and financial assets. However, properties such as negative asymmetry, positive correlation with stocks indexes and higher volatility levels during the trading session, typical of financial assets, and the existence of inflation hedge and positive correlation with bonds, typical of commodity futures, are also detected. Therefore, our results indicate that EUAs returns do not behave like common commodity futures or financial assets, and point to the fact that EUAs are a new asset class.",Vicente Medina; Angel Pardo,0000-0002-8624-0640,Vicente Medina: University of Valencia (Spain); Angel Pardo: University of Valencia (Spain),2012-08-14,Quantitative Finance,Informa UK Limited,Volatility (finance); Futures contract; Economics; Volatility clustering; Financial economics; Hedge fund; Hedge; Econometrics; Autoregressive conditional heteroskedasticity; Finance,Market Dynamics and Volatility; Financial Risk and Volatility Modeling; Complex Systems and Time Series Analysis
10.1080/14697688.2012.691986,Cardinality versus<i>q</i>-norm constraints for index tracking,"Index tracking aims at replicating a given benchmark with a smaller number of its constituents. Different quantitative models can be set up to determine the optimal index replicating portfolio. In this paper, we propose an alternative based on imposing a constraint on the q-norm (0 < q < 1) of the replicating portfolios’ asset weights: the q-norm constraint regularises the problem and identifies a sparse model. Both approaches are challenging from an optimization viewpoint due to either the presence of the cardinality constraint or a non-convex constraint on the q-norm. The problem can become even more complex when non-convex distance measures or other real-world constraints are considered. We employ a hybrid heuristic as a flexible tool to tackle both optimization problems. The empirical analysis of real-world financial data allows us to compare the two index tracking approaches. Moreover, we propose a strategy to determine the optimal number of constituents and the corresponding optimal portfolio asset weights.",Björn Fastrich; Sandra Paterlini; Peter Winker,0000-0003-4269-4496; 0000-0003-3412-4207,Peter Winker: Centre for European Economic Research,2012-08-03,Quantitative Finance,Informa UK Limited,Index (typography); Norm (philosophy); Mathematics; Mathematical economics; Tracking (education); Econometrics; Economics; Applied mathematics; Mathematical optimization; Computer science; Psychology; Political science; Law,Risk and Portfolio Optimization; Advanced Bandit Algorithms Research; Auction Theory and Applications
10.1080/14697688.2012.691987,On the performance of asymptotic locally risk minimising hedges in the Heston stochastic volatility model,"This paper investigates the use of the asymptotic Heston solution in locally risk minimising hedging. The asymptotic Heston solution is presented along with issues that are relevant to its use. Comparison between the exact and asymptotic Heston hedges are made using both simulated and real historical data. The asymptotic Heston hedge is found to be a viable alternative to the exact hedge. It provides a means for faster calculation, while performing as well as the exact Heston hedge in the locally risk minimising framework.",Sai Hung Marten Ting; Christian-Oliver Ewald,0000-0003-3288-0164,Sai Hung Marten Ting: University of Sydney; Christian‐Oliver Ewald: University of Glasgow,2013-06,Quantitative Finance,Informa UK Limited,Heston model; Stochastic volatility; Hedge; Applied mathematics; Volatility (finance); Mathematics; Econometrics; SABR volatility model,"Stochastic processes and financial applications; Financial Risk and Volatility Modeling; Insurance, Mortality, Demography, Risk Management"
10.1080/14697688.2012.693943,Arbitrage-free interval and dynamic hedging in an illiquid market,"This paper derives two pricing PDEs for a general European option under liquidity risk. We provide two modified hedges: one hedge replicates a short option and the other replicates a long option inclusive of liquidity costs under continuous rebalancing. We identify an arbitrage-free interval by calculating the costs of the two hedges. Unlike in a setting with infinite overall transaction costs, the overall liquidity cost in our model is proved to be finite even under continuous rebalancing. Numerical results on option pricing and the moments of hedge errors of Black–Scholes and our modified hedges are also presented.",Jinqiang Yang; Zhaojun Yang,0000-0002-2591-7283,Jinqiang Yang: Hunan University; Zhaojun Yang: Hunan University,2013-07,Quantitative Finance,Informa UK Limited,Market liquidity; Hedge; Arbitrage; Transaction cost; Interval (graph theory); Liquidity risk; Econometrics; Economics; Call option; Valuation of options; Basis risk; Black–Scholes model; Financial economics; Mathematics; Capital asset pricing model; Microeconomics; Finance; Volatility (finance),Stochastic processes and financial applications; Financial Markets and Investment Strategies; Economic theories and models
10.1080/14697688.2012.694466,Firm characteristics that drive the momentum pattern in the UK stock market,"Previous studies have estimated the company characteristics of previous winners and losers to explore the momentum effect. Using UK data, this study focuses on the characteristics of companies that actually generate the momentum pattern. These are previous winners who keep performing well (WW) and past losers who consistently perform poorly (LL). This study illustrates that WW and LL firms may exhibit market-based characteristics similar to those of young, low-priced, small capitalisation companies, but that there are significant differences. Accounting and fundamental signals (e.g. profitability, value/growth) tend to distinguish winners from losers. Based on firm characteristics, we further develop investment strategies that can outperform significantly the profitability of the momentum strategy.",Antonios Siganos,0000-0002-8792-9263,"Antonios Siganos: University of Glasgow, Adam Smith Institute",2013-03,Quantitative Finance,Informa UK Limited,Profitability index; Momentum (technical analysis); Financial economics; Economics; Econometrics; Investment (military); Stock (firearms); Value (mathematics); Business; Monetary economics; Finance; Engineering; Mathematics; Statistics,Financial Markets and Investment Strategies; Corporate Finance and Governance; Financial Reporting and Valuation Research
10.1080/14697688.2012.694709,Calendar,,,,,2012-06,Quantitative Finance,Informa UK Limited,Economics; Business,
10.1080/14697688.2012.695084,A market model with medium/long-term effects due to an insider,"In this article, we consider a modification of the Karatzas–Pikovsky model of insider trading. Specifically, we suppose that the insider agent influences the long/medium-term evolution of Black–Scholes type model through the drift of the stochastic differential equation. We say that the insider agent is using a portfolio leading to a partial equilibrium if the following three properties are satisfied: (a) the portfolio used by the insider leads to a stock price which is a semimartingale under his/her own filtration and his/her own filtration enlarged with the final price; (b) the portfolio used by the insider is optimal in the sense that it maximises the logarithmic utility for the insider when his/her filtration is fixed; and (c) the optimal logarithmic utility in (b) is finite. We give sufficient conditions for the existence of a partial equilibrium and show in some explicit models how to apply these general results.",Hiroaki Hata; Arturo Kohatsu-Higa,0000-0001-8593-3501,Hiroaki Hata: Osaka University; Arturo Kohatsu‐Higa: Osaka University,2013-03,Quantitative Finance,Informa UK Limited,Semimartingale; Insider; Portfolio; Insider trading; Logarithm; Stochastic differential equation; Mathematical economics; Term (time); Economics; Replicating portfolio; Econometrics; Mathematics; Portfolio optimization; Financial economics; Applied mathematics; Finance; Physics; Mathematical analysis,Stochastic processes and financial applications; Financial Markets and Investment Strategies; Complex Systems and Time Series Analysis
10.1080/14697688.2012.695085,"Financial Economics: A Concise Introduction to Classical and Behavioral Finance, by T. Hens and M. O. Rieger","Financial Economics: A Concise Introduction to Classical and Behavioral Finance, by T. Hens and M. O. Rieger, Springer, Heidelberg (2010), 373 pp., $99.00, 64.99, 74.95, CHF 107.50. ISBN 978-3-540-...",Alec N. Kercheval,0000-0002-2511-9599,Alec N. Kercheval: Florida State University,2012-10,Quantitative Finance,Informa UK Limited,Behavioral economics; Economics; Finance,Financial Markets and Investment Strategies; Economic theories and models; Complex Systems and Time Series Analysis
10.1080/14697688.2012.696676,The British call option,"Alongside the British put option (Peskir and Samee [Appl. Math. Finance, 2011, 18, 537–563]) we present a new call option where the holder enjoys the early exercise feature of American options whereupon his payoff (deliverable immediately) is the ‘best prediction’ of the European payoff under the hypothesis that the true drift of the stock price equals a contract drift. Inherent in this is a protection feature which is key to the British call option. Should the option holder believe the true drift of the stock price to be unfavourable (based upon observed price movements) he can substitute the true drift with the contract drift and minimise his losses. The practical implications of this protection feature are most remarkable as not only can the option holder exercise at or below the strike price to a substantial reimbursement of the original option price (covering the ability to sell in a liquid option market completely endogenously) but also when the stock price movements are favourable he will generally receive high returns. We derive a closed form expression for the arbitrage-free price in terms of the rational exercise boundary and show that the rational exercise boundary itself can be characterised as the unique solution to a nonlinear integral equation. In addition we derive the ‘British put–call symmetry’ relations which express the arbitrage-free price and the rational exercise boundary of the British call option in terms of the arbitrage-free price and the rational exercise boundary of the British put option where the roles of the contract drift and the interest rate have been swapped. These relations provide a useful insight into the British payoff mechanism that is of both theoretical and practical interest. Using these results we perform a financial analysis of the British call option that leads to the conclusions above and shows that with the contract drift properly selected the British call option becomes a very attractive alternative to the classic European/American call.",Goran Peskir; Farman Samee,0000-0001-7214-3527,Goran Peškir: University of Manchester; Farman Samee: University of Manchester,2013-01,Quantitative Finance,Informa UK Limited,Call option; Financial economics; Business; Economics; Actuarial science; Computer science,Social Policy and Reform Studies; European Socioeconomic and Political Studies; Employment and Welfare Studies
10.1080/14697688.2012.696677,An empirical study of the impact of skewness and kurtosis on hedging decisions,"This study uses real price data rather than a simulation approach to investigate how hedging behaviours may change when hedgers consider skewness and excess kurtosis of hedging returns in their decision models. The study involves modelling the time-varying skewness and excess kurtosis of returns. The empirical results show that adding a preference for positively skewed returns to traditional mean-variance models may not lead to more speculative hedging/investment behaviours. Post-hedged return distributions suggest that the third moments of hedged portfolios have probably been well adjusted by mean-variance strategies, rendering three-moment decision models on a par with traditional mean-variance models. Additionally, considering the aversion to excess kurtosis will cause investors to hedge more. The research also provides empirical support for traditional minimum-variance strategies.",Jing-Yi Lai,,Jing-Yi Lai: National Chung Cheng University,2012-12,Quantitative Finance,Informa UK Limited,Kurtosis; Skewness; Econometrics; Variance (accounting); Economics; Hedge; Actuarial science; Statistics; Mathematics; Accounting,Financial Risk and Volatility Modeling; Market Dynamics and Volatility; Monetary Policy and Economic Impact
10.1080/14697688.2012.696678,Low-bias simulation scheme for the Heston model by Inverse Gaussian approximation,"Fast and accurate sampling of conditional time-integrated variance in the Heston model is an important and challenging problem. We proved that this very complicated distribution converges to the moment-matched Inverse Gaussian distribution as the time interval goes to infinity. Leveraging on this theoretical result, we develop an efficient and accurate Inverse Gaussian approximation to sample conditional time-integrated variance. Numerical results demonstrate that our scheme compares favourably with state-of-the-art methods in accuracy given the same computational time for moderately path-dependent options.",S. T. Tse; Justin W. L. Wan,0000-0001-8367-6337,Shu Tong Tse: University of Waterloo; Justin W. L. Wan: University of Waterloo,2013-06,Quantitative Finance,Informa UK Limited,Inverse Gaussian distribution; Gaussian; Applied mathematics; Mathematics; Normal-inverse Gaussian distribution; Conditional expectation; Inverse; Variance (accounting); Generalized inverse Gaussian distribution; Conditional variance; Heston model; Conditional probability distribution; Moment (physics); Stochastic volatility; Distribution (mathematics); Mathematical optimization; Gaussian process; Gaussian random field; Statistics; Econometrics; Mathematical analysis; Autoregressive conditional heteroskedasticity; Physics; Volatility (finance); Economics,Stochastic processes and financial applications; Meteorological Phenomena and Simulations; Model Reduction and Neural Networks
10.1080/14697688.2012.696679,Extreme value theory versus traditional GARCH approaches applied to financial data: a comparative evaluation,"Although stock prices fluctuate, the variations are relatively small and are frequently assumed to be normally distributed on a large time scale. But sometimes these fluctuations can become determinant, especially when unforeseen large drops in asset prices are observed that could result in huge losses or even in market crashes. The evidence shows that these events happen far more often than would be expected under the generalised assumption of normally distributed financial returns. Thus it is crucial to model distribution tails properly so as to be able to predict the frequency and magnitude of extreme stock price returns. In this paper we follow the approach suggested by McNeil and Frey in 2000 and combine GARCH-type models with the extreme value theory to estimate the tails of three financial index returns ¿ S&amp;P 500, FTSE 100 and NIKKEI 225 ¿ representing three important financial areas in the world. Our results indicate that EVT-based conditional quantile estimates are more accurate than those from conventional GARCH models assuming normal or Student¿s t distribution innovations when doing not only in-sample but also out-of-sample estimation. Moreover, these results are robust to alternative GARCH model specifications. The findings of this paper should be useful to investors in general, since their goal is to be able to forecast unforeseen price movements and take advantage of them by positioning themselves in the market according to these predictions.",Dolores Furió; Francisco J. Climent,0000-0003-2698-889X,Dolores Furió: University of Valencia (Spain); Francisco J. Climent: University of Valencia (Spain),2012-07-19,Quantitative Finance,Informa UK Limited,Autoregressive conditional heteroskedasticity; Extreme value theory; Economics; Econometrics; Financial economics; Financial econometrics; Value (mathematics); Mathematics; Actuarial science; Finance; Volatility (finance); Financial ratio; Statistics; Indirect finance,Financial Risk and Volatility Modeling; Complex Systems and Time Series Analysis; Market Dynamics and Volatility
10.1080/14697688.2012.696780,A simple iterative method for the valuation of American options,"We introduce a simple iterative method to determine the optimal exercise boundary for American options, allowing us to compute the values of American options and their Greeks quickly and accurately. Following Little, Pant and Hou's idea (2000 Little, T, Pant, V and Hou, C. 2000. A new integral representation of the early exercise boundary for American put options. J. Comput. Finan., 3: 73–96. [Google Scholar]), we derive a new equation for the optimal exercise boundary containing a single integral. The proposed method is an iterative numerical method for finding its solution. Using it, we can calculate the entire optimal exercise boundary in a non-time-recursive way, in contrast to conventional methods. Extensive numerical results indicate that our method is computationally more efficient than the methods currently available, particularly for hedge ratios.",In Joon Kim; Bong-Gyu Jang; Kyeong Tae Kim,0000-0002-2293-5080,In Joon Kim: Yonsei University; Bong‐Gyu Jang: Pohang University of Science and Technology; Kyeong Tae Kim: Pohang University of Science and Technology,2013-06,Quantitative Finance,Informa UK Limited,Valuation (finance); Christian ministry; Iterative method; Simple (philosophy); Computer science; Representation (politics); Mathematics; Boundary (topology); Mathematical optimization; Put option; Applied mathematics; Mathematical economics; Actuarial science; Finance; Economics; Mathematical analysis; Political science; Epistemology,Stochastic processes and financial applications; Capital Investment and Risk Analysis; Financial Reporting and Valuation Research
